Year,Area of spending sub-category,Observation status,Unit multiplier,Units,SERIES,Value
2002,Research and development - social protection,Undefined,Units,Percentage (%),Percentage of gross domestic product (GDP) spending on social protection,0.001106121
2003,Research and development - social protection,Undefined,Units,Percentage (%),Percentage of gross domestic product (GDP) spending on social protection,0.000377829
2004,Research and development - social protection,Undefined,Units,Percentage (%),Percentage of gross domestic product (GDP) spending on social protection,0.000369102
2005,Research and development - social protection,Undefined,Units,Percentage (%),Percentage of gross domestic product (GDP) spending on social protection,0.000596696
2006,Research and development - social protection,Undefined,Units,Percentage (%),Percentage of gross domestic product (GDP) spending on social protection,0.000174718
2007,Research and development - social protection,Undefined,Units,Percentage (%),Percentage of gross domestic product (GDP) spending on social protection,0.000227593
2008,Research and development - social protection,Undefined,Units,Percentage (%),Percentage of gross domestic product (GDP) spending on social protection,0.00074319
2009,Research and development - social protection,Undefined,Units,Percentage (%),Percentage of gross domestic product (GDP) spending on social protection,0.000119334
2010,Research and development - social protection,Undefined,Units,Percentage (%),Percentage of gross domestic product (GDP) spending on social protection,0.000117346
2011,Research and development - social protection,Undefined,Units,Percentage (%),Percentage of gross domestic product (GDP) spending on social protection,0.000462663
2012,Research and development - social protection,Undefined,Units,Percentage (%),Percentage of gross domestic product (GDP) spending on social protection,0.000284943
2013,Research and development - social protection,Undefined,Units,Percentage (%),Percentage of gross domestic product (GDP) spending on social protection,0.000111685
2014,Research and development - social protection,Undefined,Units,Percentage (%),Percentage of gross domestic product (GDP) spending on social protection,0
2015,Research and development - social protection,Undefined,Units,Percentage (%),Percentage of gross domestic product (GDP) spending on social protection,0
2000,Social protection - not elsewhere classified,Undefined,Units,Percentage (%),Percentage of gross domestic product (GDP) spending on social protection,0.229625285
2001,Social protection - not elsewhere classified,Undefined,Units,Percentage (%),Percentage of gross domestic product (GDP) spending on social protection,0.303659784
2002,Social protection - not elsewhere classified,Undefined,Units,Percentage (%),Percentage of gross domestic product (GDP) spending on social protection,0.31680594
2003,Social protection - not elsewhere classified,Undefined,Units,Percentage (%),Percentage of gross domestic product (GDP) spending on social protection,0.349806898
2004,Social protection - not elsewhere classified,Undefined,Units,Percentage (%),Percentage of gross domestic product (GDP) spending on social protection,0.330161722
2005,Social protection - not elsewhere classified,Undefined,Units,Percentage (%),Percentage of gross domestic product (GDP) spending on social protection,0.3051502
2006,Social protection - not elsewhere classified,Undefined,Units,Percentage (%),Percentage of gross domestic product (GDP) spending on social protection,0.248798087
2007,Social protection - not elsewhere classified,Undefined,Units,Percentage (%),Percentage of gross domestic product (GDP) spending on social protection,0.204264985
2008,Social protection - not elsewhere classified,Undefined,Units,Percentage (%),Percentage of gross domestic product (GDP) spending on social protection,0.195573331
2009,Social protection - not elsewhere classified,Undefined,Units,Percentage (%),Percentage of gross domestic product (GDP) spending on social protection,0.214324541
2010,Social protection - not elsewhere classified,Undefined,Units,Percentage (%),Percentage of gross domestic product (GDP) spending on social protection,0.240676287
2011,Social protection - not elsewhere classified,Undefined,Units,Percentage (%),Percentage of gross domestic product (GDP) spending on social protection,0.291072747
2012,Social protection - not elsewhere classified,Undefined,Units,Percentage (%),Percentage of gross domestic product (GDP) spending on social protection,0.328482461
2013,Social protection - not elsewhere classified,Undefined,Units,Percentage (%),Percentage of gross domestic product (GDP) spending on social protection,0.268323328
2014,Social protection - not elsewhere classified,Undefined,Units,Percentage (%),Percentage of gross domestic product (GDP) spending on social protection,0.272725696
2015,Social protection - not elsewhere classified,Undefined,Units,Percentage (%),Percentage of gross domestic product (GDP) spending on social protection,0.319260966
